testv3.txt opened
> offset: 18240, typeID: 5, length: 20
> offset: 18263, typeID: 1, length: 57
> offset: 18323, typeID: 5, length: 20
> offset: 18346, typeID: 17, length: 35
> offset: 18384, typeID: 1, length: 57
> offset: 18444, typeID: 5, length: 20
> offset: 18481, typeID: 1, length: 57
> offset: 18541, typeID: 3, length: 21
> offset: 18565, typeID: 5, length: 20
> offset: 18588, typeID: 17, length: 35
> offset: 18672, typeID: 1, length: 57
> offset: 18732, typeID: 3, length: 21
> offset: 18756, typeID: 5, length: 20
> offset: 18779, typeID: 1, length: 57
> offset: 18839, typeID: 5, length: 20
> offset: 18847, typeID: 254, length: 133
> offset: 18862, typeID: 17, length: 35
> offset: 18900, typeID: 1, length: 57
> offset: 18960, typeID: 5, length: 20
> offset: 18978, typeID: 3, length: 154
> offset: 18983, typeID: 1, length: 57
> offset: 19043, typeID: 5, length: 20
> offset: 19066, typeID: 17, length: 35
> offset: 19135, typeID: 1, length: 57
> offset: 19195, typeID: 5, length: 20
> offset: 19218, typeID: 1, length: 57
> offset: 19278, typeID: 8, length: 32
> offset: 19313, typeID: 5, length: 20
> offset: 19336, typeID: 17, length: 35
> offset: 19374, typeID: 2, length: 75
> offset: 19452, typeID: 1, length: 57
> offset: 19512, typeID: 5, length: 20
> offset: 19535, typeID: 17, length: 35
> offset: 19573, typeID: 1, length: 57
> offset: 19633, typeID: 5, length: 20
> offset: 19656, typeID: 1, length: 57
> offset: 19730, typeID: 5, length: 20
> offset: 19753, typeID: 17, length: 35
> offset: 19791, typeID: 1, length: 57
> offset: 19851, typeID: 3, length: 21
> offset: 19875, typeID: 5, length: 20
> offset: 19898, typeID: 1, length: 57
> offset: 19958, typeID: 3, length: 21
> offset: 20028, typeID: 5, length: 20
> offset: 20051, typeID: 17, length: 35
> offset: 20089, typeID: 1, length: 57
> offset: 20149, typeID: 5, length: 20
> offset: 20172, typeID: 1, length: 57
> offset: 20232, typeID: 5, length: 20
> offset: 20241, typeID: 17, length: 119
> offset: 20255, typeID: 1, length: 57
> offset: 20284, typeID: 4, length: 28
> offset: 20315, typeID: 14, length: 22
> offset: 20340, typeID: 5, length: 20
> offset: 20363, typeID: 17, length: 35
> offset: 20432, typeID: 4, length: 17
> offset: 20452, typeID: 1, length: 57
> offset: 20512, typeID: 5, length: 20
> offset: 20531, typeID: 20, length: 197
> offset: 20535, typeID: 17, length: 35
> offset: 20573, typeID: 4, length: 17
> offset: 20593, typeID: 1, length: 57
> offset: 20653, typeID: 8, length: 32
> offset: 20688, typeID: 5, length: 20
> offset: 20711, typeID: 4, length: 17
> offset: 20731, typeID: 1, length: 57
> offset: 20791, typeID: 5, length: 20
> offset: 20814, typeID: 17, length: 35
> offset: 20852, typeID: 1, length: 57
> offset: 20912, typeID: 5, length: 20
> offset: 20935, typeID: 1, length: 57
> offset: 21009, typeID: 1, length: 57
> offset: 21062, typeID: 8, length: 149
> offset: 21069, typeID: 5, length: 20
> offset: 21092, typeID: 17, length: 35
> offset: 21130, typeID: 3, length: 21
> offset: 21154, typeID: 1, length: 57
